,Y idx,year,month,curr winners idx,$ before,value,hold,sell,buy,$ after,$ value change
6,0,2006,July,[],1000,1000,[],[],"[('EEM', 8, 37.32), ('EFA', 4, 72.38), ('IWD', 4, 81.95), ('EEM', 1, 37.32), ('EEM', 1, 37.32)]",9.48,0
7,0,2006,August,"['IWD', 'EFA', 'EEM']",9.48,1028.58,"[('EEM', '13.7€', '10 at 38.69€')]","[('IWD', '6.6€', '4 at 83.6€'), ('EFA', '8.28€', '4 at 74.45€')]","[('VNQ', 3, 81.65), ('IWF', 5, 56.53), ('VNQ', 1, 81.65)]",32.43,28.58
8,0,2006,September,"['IWF', 'VNQ', 'EEM']",32.43,1046.77,"[('VNQ', '9.04€', '4 at 83.91€'), ('EEM', '18.5€', '10 at 39.17€')]","[('IWF', '4.35€', '5 at 57.4€')]","[('IWO', 3, 83.5)]",68.93,18.19
9,0,2006,October,"['VNQ', 'IWO', 'EEM']",68.93,1019.67,"[('EEM', '15.6€', '10 at 38.88€')]","[('VNQ', '-8.8€', '4 at 79.45€'), ('IWO', '-6.36€', '3 at 81.38€')]","[('EFA', 4, 76.53), ('GLD', 4, 65.84)]",61.39,-27.1
10,0,2006,November,"['GLD', 'EFA', 'EEM']",61.39,1058.31,"[('GLD', '7.56€', '4 at 67.73€'), ('EFA', '10.88€', '4 at 79.25€'), ('EEM', '35.8€', '10 at 40.9€')]",[],[],61.39,38.64
11,0,2006,December,"['EFA', 'GLD', 'EEM']",61.39,1051.91,"[('EFA', '12.6€', '4 at 79.68€'), ('EEM', '39.6€', '10 at 41.28€')]","[('GLD', '-4.36€', '4 at 64.75€')]","[('IWD', 3, 88.06)]",56.21,-6.4
12,1,2007,January,"['IWD', 'EFA', 'EEM']",56.21,1071.57,"[('EFA', '13.68€', '4 at 79.95€'), ('EEM', '61.6€', '10 at 43.48€')]","[('IWD', '-3.42€', '3 at 86.92€')]","[('IWO', 3, 85.04)]",61.85,19.66
13,1,2007,February,"['IWO', 'EFA', 'EEM']",61.85,1134.83,"[('EFA', '25.52€', '4 at 82.91€'), ('EEM', '106.9€', '10 at 48.01€')]","[('IWO', '6.12€', '3 at 87.08€')]","[('IWF', 5, 61.63)]",14.94,63.26
14,1,2007,March,"['IWF', 'EFA', 'EEM']",14.94,1036.76,"[('EEM', '51.1€', '10 at 42.43€')]","[('IWF', '-16.95€', '5 at 58.24€'), ('EFA', '0.2€', '4 at 76.58€')]","[('IEF', 3, 83.3), ('TLT', 3, 87.12), ('IEF', 1, 83.3)]",17.9,-98.07
15,1,2007,April,"['EEM', 'TLT', 'IEF']",17.9,1098.59,"[('EEM', '110.1€', '10 at 48.33€')]","[('TLT', '2.31€', '3 at 87.89€'), ('IEF', '0.52€', '4 at 83.43€')]","[('GLD', 4, 72.34), ('DBC', 11, 27.69)]",21.34,61.83
